tconst	averageRating	numVotes
tt0000001	5.7	2227
tt0000002	5.4	324
tt0000003	6.4	2375
tt0000004	5.0	201
tt0000005	6.2	3088
tt0000006	5.0	224
tt0000007	5.3	959
tt0000008	5.3	2419
tt0000009	5.2	239
tt0000010	6.8	8427
tt0000011	5.2	467
tt0000012	7.4	14202
tt0000013	5.7	2165
tt0000014	7.1	6518
tt0000015	6.1	1351
tt0000016	5.9	1757
tt0000017	4.6	419
tt0000018	5.2	723
tt0000019	4.6	42
tt0000020	4.7	446
tt0000022	5.1	1276
tt0000023	5.7	1690
tt0000024	3.8	198
tt0000025	4.0	61
tt0000026	5.6	1765
tt0000027	5.6	1340
tt0000028	5.1	1288
tt0000029	5.9	3864
tt0000030	5.2	1029
tt0000031	5.5	1162
tt0000032	4.9	497
tt0000033	5.5	1204
tt0000034	4.7	277
tt0000035	5.4	98
tt0000036	4.4	688
tt0000037	4.5	90
tt0000038	4.2	253
tt0000039	3.7	45
tt0000040	4.2	90
tt0000041	6.7	2245
tt0000042	4.0	50
tt0000043	3.3	44
tt0000044	3.9	64
tt0000045	3.7	46
tt0000046	3.8	52
tt0000047	3.4	52
tt0000048	4.7	253
tt0000049	4.5	71
tt0000050	3.7	46
tt0000051	3.5	47
tt0000052	4.1	149
tt0000053	3.2	28
tt0000054	4.8	46
tt0000055	3.6	43
tt0000056	3.0	33
tt0000057	4.1	47
tt0000058	3.9	45
tt0000059	3.4	39
tt0000060	6.8	101
tt0000061	4.2	47
tt0000062	6.1	247
tt0000063	3.4	40
tt0000064	3.3	42
tt0000065	3.4	41
tt0000066	3.1	42
tt0000067	4.9	122
tt0000068	3.7	45
tt0000069	5.0	612
tt0000070	6.4	3029
tt0000071	3.5	44
tt0000072	3.4	39
tt0000073	3.4	43
tt0000074	4.5	43
tt0000075	6.3	2265
tt0000076	4.4	616
tt0000077	4.4	47
tt0000078	3.4	130
tt0000079	4.3	49
tt0000080	4.0	43
tt0000081	4.0	44
tt0000082	4.2	58
tt0000083	3.8	46
tt0000084	4.4	42
tt0000085	4.2	45
tt0000086	4.0	45
tt0000087	4.5	48
tt0000088	3.8	44
tt0000089	6.2	1160
tt0000090	3.7	43
tt0000091	6.7	4683
tt0000092	4.4	41
tt0000093	4.5	110
tt0000094	4.2	83
tt0000095	4.7	46
tt0000096	3.9	42
tt0000097	4.7	45
tt0000098	5.0	48
tt0000099	4.3	44
tt0000100	4.6	79
tt0000101	4.2	40
